CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,switch_type,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
900.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",676.0,orange,1000.0,9.0,task_switch,color,switch,,-101325,0.0,stim,0.0,poldrack-categorize,s251
900.0,2000.0,True,89.0,Magnitude,,practice,twobytwo,500.0,89.0,"89,71",732.0,orange,1000.0,1.0,task_switch,magnitude,switch,,-96912,0.0,stim,1.0,poldrack-categorize,s251
900.0,2000.0,True,71.0,Orange-Blue,,practice,twobytwo,500.0,71.0,"89,71",607.0,orange,1000.0,1.0,task_switch,color,switch,,-92498,0.0,stim,2.0,poldrack-categorize,s251
100.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",763.0,orange,1000.0,7.0,task_switch,magnitude,switch,,-88886,0.0,stim,3.0,poldrack-categorize,s251
100.0,2000.0,True,89.0,High-Low,switch,practice,twobytwo,500.0,89.0,"89,71",897.0,#1F45FC,1000.0,4.0,cue_switch,magnitude,stay,,-85276,0.0,stim,4.0,poldrack-categorize,s251
900.0,2000.0,True,71.0,Magnitude,switch,practice,twobytwo,500.0,71.0,"89,71",747.0,#1F45FC,1000.0,8.0,cue_switch,magnitude,stay,,-80865,0.0,stim,5.0,poldrack-categorize,s251
900.0,2000.0,True,71.0,High-Low,switch,practice,twobytwo,500.0,71.0,"89,71",581.0,#1F45FC,1000.0,7.0,cue_switch,magnitude,stay,,-76454,0.0,stim,6.0,poldrack-categorize,s251
900.0,2000.0,True,71.0,High-Low,stay,practice,twobytwo,500.0,71.0,"89,71",667.0,#1F45FC,1000.0,9.0,cue_stay,magnitude,stay,,-72045,0.0,stim,7.0,poldrack-categorize,s251
100.0,2000.0,False,71.0,Orange-Blue,,practice,twobytwo,500.0,89.0,"89,71",887.0,orange,1000.0,4.0,task_switch,color,switch,,-68433,0.0,stim,8.0,poldrack-categorize,s251
900.0,2000.0,True,71.0,Magnitude,,practice,twobytwo,500.0,71.0,"89,71",535.0,#1F45FC,1000.0,8.0,task_switch,magnitude,switch,,-64020,0.0,stim,9.0,poldrack-categorize,s251
