block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
4715.0,UA_with_intermeidate,,"1,0,0,2,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,1.0,"89,71",0.0,,4715,"1,0,0,2,3,0,0,0,0",4715.0,,7722,0.0,to_hand,poldrack-single-stim,s445
1642.0,UA_with_intermeidate,,"1,0,0,2,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",0.0,,1642,"1,0,0,2,3,0,0,0,0",1642.0,,9364,0.0,to_board,poldrack-single-stim,s445
817.0,UA_with_intermeidate,,"1,0,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,817,"1,0,0,2,3,0,0,0,0",817.0,,10184,0.0,to_hand,poldrack-single-stim,s445
310.0,UA_with_intermeidate,,"1,2,0,0,0,0,3,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",0.0,,310,"1,0,0,2,3,0,0,0,0",310.0,,10495,0.0,to_board,poldrack-single-stim,s445
1161.0,UA_with_intermeidate,,"1,2,0,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",82,3.0,3.0,"89,82",0.0,,1161,"1,0,0,2,3,0,0,0,0",1161.0,,11658,0.0,to_hand,poldrack-single-stim,s445
324.0,UA_with_intermeidate,,"1,2,3,0,0,0,0,0,0",practice,ward_and_allport,"1,2,3,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",0.0,,324,"1,0,0,2,3,0,0,0,0",324.0,,11983,0.0,to_board,poldrack-single-stim,s445
2500.0,UA_with_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,0.0,11983.0,-1,,1000.0,,14486,0.0,feedback,poldrack-single-stim,s445
2332.0,UA_with_intermeidate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,1.0,"89,71",1.0,,2332,"1,2,0,3,0,0,0,0,0",2332.0,,16821,0.0,to_hand,poldrack-single-stim,s445
1163.0,UA_with_intermeidate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,1.0,"89,71,82",1.0,,1163,"1,2,0,3,0,0,0,0,0",1163.0,,17985,0.0,to_board,poldrack-single-stim,s445
464.0,UA_with_intermeidate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",71,3.0,2.0,"89,71,82",1.0,,464,"1,2,0,3,0,0,0,0,0",464.0,,18451,0.0,to_hand,poldrack-single-stim,s445
381.0,UA_with_intermeidate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",1.0,,381,"1,2,0,3,0,0,0,0,0",381.0,,18833,0.0,to_board,poldrack-single-stim,s445
832.0,UA_with_intermeidate,,"1,3,0,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",82,3.0,3.0,"89,82",1.0,,832,"1,2,0,3,0,0,0,0,0",832.0,,19666,0.0,to_hand,poldrack-single-stim,s445
221.0,UA_with_intermeidate,,"1,3,2,0,0,0,0,0,0",practice,ward_and_allport,"1,3,2,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",1.0,,221,"1,2,0,3,0,0,0,0,0",221.0,,19888,0.0,to_board,poldrack-single-stim,s445
2100.0,UA_with_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,1.0,7504.0,-1,,1000.0,,21991,0.0,feedback,poldrack-single-stim,s445
2058.0,UA_without_intermeidate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",82,3.0,1.0,"71,82",2.0,,2058,"0,0,0,1,2,0,3,0,0",2058.0,,24051,0.0,to_hand,poldrack-single-stim,s445
326.0,UA_without_intermeidate,,"3,0,0,1,2,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",2.0,,326,"0,0,0,1,2,0,3,0,0",326.0,,24377,0.0,to_board,poldrack-single-stim,s445
1438.0,UA_without_intermeidate,,"3,0,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,2.0,"89,71",2.0,,1438,"0,0,0,1,2,0,3,0,0",1438.0,,25817,0.0,to_hand,poldrack-single-stim,s445
289.0,UA_without_intermeidate,,"3,2,0,1,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",2.0,,289,"0,0,0,1,2,0,3,0,0",289.0,,26107,0.0,to_board,poldrack-single-stim,s445
488.0,UA_without_intermeidate,,"3,2,0,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",2.0,,488,"0,0,0,1,2,0,3,0,0",488.0,,26597,0.0,to_hand,poldrack-single-stim,s445
232.0,UA_without_intermeidate,,"3,2,1,0,0,0,0,0,0",practice,ward_and_allport,"3,2,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",2.0,,232,"0,0,0,1,2,0,3,0,0",232.0,,26830,0.0,to_board,poldrack-single-stim,s445
2200.0,UA_without_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,2.0,7042.0,-1,,1000.0,,29033,0.0,feedback,poldrack-single-stim,s445
1886.0,UA_without_intermeidate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,1.0,"71,82",3.0,,1886,"0,0,0,1,2,0,3,0,0",1886.0,,30920,0.0,to_hand,poldrack-single-stim,s445
341.0,UA_without_intermeidate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,1.0,"89,71,82",3.0,,341,"0,0,0,1,2,0,3,0,0",341.0,,31262,0.0,to_board,poldrack-single-stim,s445
965.0,UA_without_intermeidate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",82,3.0,2.0,"89,71,82",3.0,,965,"0,0,0,1,2,0,3,0,0",965.0,,32229,0.0,to_hand,poldrack-single-stim,s445
281.0,UA_without_intermeidate,,"2,3,0,1,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,2.0,"89,71,82",3.0,,281,"0,0,0,1,2,0,3,0,0",281.0,,32511,0.0,to_board,poldrack-single-stim,s445
526.0,UA_without_intermeidate,,"2,3,0,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",71,3.0,3.0,"89,71",3.0,,526,"0,0,0,1,2,0,3,0,0",526.0,,33038,0.0,to_hand,poldrack-single-stim,s445
256.0,UA_without_intermeidate,,"2,3,1,0,0,0,0,0,0",practice,ward_and_allport,"2,3,1,0,0,0,0,0,0",89,3.0,3.0,"89,71,82",3.0,,256,"0,0,0,1,2,0,3,0,0",256.0,,33295,0.0,to_board,poldrack-single-stim,s445
2000.0,UA_without_intermeidate,True,,practice,ward_and_allport,,-1,3.0,3.0,none,3.0,6266.0,-1,,1000.0,,35299,0.0,feedback,poldrack-single-stim,s445
3313.0,PA_without_intermediate,,"0,0,0,0,0,0,1,2,0",test,ward_and_allport,"3,1,0,2,0,0,0,0,0",82,3.0,1.0,82,0.0,,3313,"0,0,0,0,0,0,1,2,3",3313.0,,40619,0.0,to_hand,poldrack-single-stim,s445
576.0,PA_without_intermediate,,"3,0,0,0,0,0,1,2,0",test,ward_and_allport,"3,1,0,2,0,0,0,0,0",89,3.0,1.0,"89,71,82",0.0,,576,"0,0,0,0,0,0,1,2,3",576.0,,41195,0.0,to_board,poldrack-single-stim,s445
2126.0,PA_without_intermediate,,"3,0,0,0,0,0,1,0,0",test,ward_and_allport,"3,1,0,2,0,0,0,0,0",82,3.0,2.0,"89,82",0.0,,2126,"0,0,0,0,0,0,1,2,3",2126.0,,43324,0.0,to_hand,poldrack-single-stim,s445
409.0,PA_without_intermediate,,"3,0,0,2,0,0,1,0,0",test,ward_and_allport,"3,1,0,2,0,0,0,0,0",71,3.0,2.0,"89,71,82",0.0,,409,"0,0,0,0,0,0,1,2,3",409.0,,43734,0.0,to_board,poldrack-single-stim,s445
