SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stop_response,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"71,89",1069,850.0,,False,,-72259,250.0,stim,0.0,poldrack-categorize,s525
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"71,89",753,850.0,,False,,-69653,250.0,stim,1.0,poldrack-categorize,s525
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"71,89",657,850.0,,False,,-67048,250.0,stim,2.0,poldrack-categorize,s525
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"71,89",440,850.0,,False,,-64442,250.0,stim,3.0,poldrack-categorize,s525
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"71,89",492,850.0,,False,,-61837,250.0,stim,4.0,poldrack-categorize,s525
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"71,89",604,850.0,,False,,-59231,250.0,stim,5.0,poldrack-categorize,s525
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"71,89",459,850.0,,False,,-56625,250.0,stim,6.0,poldrack-categorize,s525
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"71,89",615,850.0,,False,,-54020,250.0,stim,7.0,poldrack-categorize,s525
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,True,"71,89",555,850.0,,False,,-51415,250.0,stim,8.0,poldrack-categorize,s525
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"71,89",646,850.0,,False,,-48809,250.0,stim,9.0,poldrack-categorize,s525
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"71,89",502,850.0,,False,,-46203,250.0,stim,10.0,poldrack-categorize,s525
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,True,"71,89",552,850.0,,False,,-43598,250.0,stim,11.0,poldrack-categorize,s525
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,ignore,1.0,89.0,test,motor_selective_stop_signal,,89.0,True,"71,89",472,850.0,71.0,False,,5258,0.0,stim,0.0,stop-signal,s525
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,go,1.0,89.0,test,motor_selective_stop_signal,,89.0,True,"71,89",541,850.0,71.0,False,,7511,0.0,stim,1.0,stop-signal,s525
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2850.0,stop,0.0,71.0,test,motor_selective_stop_signal,,-1.0,True,"71,89",-1,850.0,71.0,True,,10365,0.0,stim,2.0,stop-signal,s525
