block_duration,choice,exp_stage,experiment_exp_id,key_press,large_amount,later_delay,possible_responses,rt,small_amount,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_type,worker_id
2022.0,,practice,discount_fixed,89,,,"89,71",2022,,2022.0,,-37116,1000.0,stim,poldrack-single-stim,s590
4636.0,larger_later,,discount_fixed,89,79.0,92.0,"89,71",1734,20.0,4000.0,,7647,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,61.0,141.0,"89,71",2147,20.0,4000.0,,12218,0.0,,poldrack-single-stim,s590
4568.0,larger_later,,discount_fixed,89,43.0,38.0,"89,71",1787,20.0,4000.0,,16789,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,66.0,145.0,"89,71",1266,20.0,4000.0,,21701,0.0,,poldrack-single-stim,s590
4840.0,larger_later,,discount_fixed,89,30.0,23.0,"89,71",1862,20.0,4000.0,,26542,0.0,,poldrack-single-stim,s590
5248.0,smaller_sooner,,discount_fixed,71,32.0,57.0,"89,71",2572,20.0,4000.0,,31792,0.0,,poldrack-single-stim,s590
4772.0,smaller_sooner,,discount_fixed,71,27.0,91.0,"89,71",2467,20.0,4000.0,,36565,0.0,,poldrack-single-stim,s590
5996.0,smaller_sooner,,discount_fixed,71,43.0,120.0,"89,71",2082,20.0,4000.0,,42565,0.0,,poldrack-single-stim,s590
5588.0,larger_later,,discount_fixed,89,75.0,60.0,"89,71",2512,20.0,4000.0,,48154,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,34.0,176.0,"89,71",1237,20.0,4000.0,,52725,0.0,,poldrack-single-stim,s590
5112.0,smaller_sooner,,discount_fixed,71,24.0,38.0,"89,71",2587,20.0,4000.0,,57841,0.0,,poldrack-single-stim,s590
5656.0,larger_later,,discount_fixed,89,82.0,74.0,"89,71",2441,20.0,4000.0,,63499,0.0,,poldrack-single-stim,s590
4568.0,larger_later,,discount_fixed,89,58.0,53.0,"89,71",3344,20.0,4000.0,,68069,0.0,,poldrack-single-stim,s590
4772.0,larger_later,,discount_fixed,89,54.0,23.0,"89,71",1735,20.0,4000.0,,72843,0.0,,poldrack-single-stim,s590
5044.0,larger_later,,discount_fixed,89,41.0,55.0,"89,71",2430,20.0,4000.0,,77889,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,77.0,142.0,"89,71",1266,20.0,4000.0,,82732,0.0,,poldrack-single-stim,s590
5180.0,smaller_sooner,,discount_fixed,71,25.0,108.0,"89,71",1344,20.0,4000.0,,87916,0.0,,poldrack-single-stim,s590
5044.0,smaller_sooner,,discount_fixed,71,33.0,163.0,"89,71",1619,20.0,4000.0,,92961,0.0,,poldrack-single-stim,s590
4976.0,smaller_sooner,,discount_fixed,71,29.0,75.0,"89,71",2270,20.0,4000.0,,97939,0.0,,poldrack-single-stim,s590
4976.0,smaller_sooner,,discount_fixed,71,45.0,157.0,"89,71",2162,20.0,4000.0,,102661,0.0,,poldrack-single-stim,s590
5316.0,smaller_sooner,,discount_fixed,71,31.0,74.0,"89,71",1124,20.0,4000.0,,107981,0.0,,poldrack-single-stim,s590
4500.0,larger_later,,discount_fixed,89,80.0,39.0,"89,71",2101,20.0,4000.0,,112483,0.0,,poldrack-single-stim,s590
5044.0,smaller_sooner,,discount_fixed,71,22.0,21.0,"89,71",1295,20.0,4000.0,,117531,0.0,,poldrack-single-stim,s590
4704.0,smaller_sooner,,discount_fixed,71,52.0,139.0,"89,71",1694,20.0,4000.0,,122238,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,54.0,126.0,"89,71",2370,20.0,4000.0,,127083,0.0,,poldrack-single-stim,s590
6744.0,smaller_sooner,,discount_fixed,71,23.0,176.0,"89,71",991,20.0,4000.0,,133830,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,24.0,87.0,"89,71",1616,20.0,4000.0,,138332,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,36.0,140.0,"89,71",1572,20.0,4000.0,,142903,0.0,,poldrack-single-stim,s590
4704.0,smaller_sooner,,discount_fixed,71,35.0,171.0,"89,71",1311,20.0,4000.0,,147611,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,34.0,43.0,"89,71",2541,20.0,4000.0,,152524,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,74.0,121.0,"89,71",1973,20.0,4000.0,,157096,0.0,,poldrack-single-stim,s590
4772.0,smaller_sooner,,discount_fixed,71,45.0,107.0,"89,71",1796,20.0,4000.0,,161874,0.0,,poldrack-single-stim,s590
4636.0,larger_later,,discount_fixed,89,77.0,24.0,"89,71",1590,20.0,4000.0,,166514,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,39.0,161.0,"89,71",1078,20.0,4000.0,,171085,0.0,,poldrack-single-stim,s590
5452.0,smaller_sooner,,discount_fixed,71,62.0,180.0,"89,71",1516,20.0,4000.0,,176540,0.0,,poldrack-single-stim,s590
5384.0,smaller_sooner,,discount_fixed,71,24.0,139.0,"89,71",1730,20.0,4000.0,,181927,0.0,,poldrack-single-stim,s590
4568.0,larger_later,,discount_fixed,89,58.0,72.0,"89,71",3586,20.0,4000.0,,186499,0.0,,poldrack-single-stim,s590
6268.0,smaller_sooner,,discount_fixed,71,56.0,93.0,"89,71",2646,20.0,4000.0,,192771,0.0,,poldrack-single-stim,s590
5520.0,larger_later,,discount_fixed,89,45.0,26.0,"89,71",1832,20.0,4000.0,,198296,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,23.0,42.0,"89,71",3431,20.0,4000.0,,202867,0.0,,poldrack-single-stim,s590
4636.0,larger_later,,discount_fixed,89,50.0,41.0,"89,71",1816,20.0,4000.0,,207507,0.0,,poldrack-single-stim,s590
4636.0,smaller_sooner,,discount_fixed,71,25.0,176.0,"89,71",1897,20.0,4000.0,,212148,0.0,,poldrack-single-stim,s590
5112.0,larger_later,,discount_fixed,89,54.0,22.0,"89,71",1887,20.0,4000.0,,217262,0.0,,poldrack-single-stim,s590
5316.0,smaller_sooner,,discount_fixed,71,29.0,44.0,"89,71",1524,20.0,4000.0,,222585,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,24.0,89.0,"89,71",1409,20.0,4000.0,,227156,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,23.0,77.0,"89,71",1912,20.0,4000.0,,231728,0.0,,poldrack-single-stim,s590
4568.0,smaller_sooner,,discount_fixed,71,27.0,130.0,"89,71",1264,20.0,4000.0,,236297,0.0,,poldrack-single-stim,s590
4840.0,smaller_sooner,,discount_fixed,71,23.0,134.0,"89,71",1025,20.0,4000.0,,241140,0.0,,poldrack-single-stim,s590
4500.0,smaller_sooner,,discount_fixed,71,55.0,107.0,"89,71",2306,20.0,4000.0,,245642,0.0,,poldrack-single-stim,s590
5656.0,smaller_sooner,,discount_fixed,71,44.0,143.0,"89,71",851,20.0,4000.0,,251301,0.0,,poldrack-single-stim,s590
4908.0,smaller_sooner,,discount_fixed,71,23.0,110.0,"89,71",988,20.0,4000.0,,256213,0.0,,poldrack-single-stim,s590
4636.0,smaller_sooner,,discount_fixed,71,65.0,156.0,"89,71",1769,20.0,4000.0,,260852,0.0,,poldrack-single-stim,s590
