block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_word,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
1500.0,incongruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",853,red,1500.0,blue,,-95174,0.0,stim,1.0,poldrack-categorize,s618
1500.0,incongruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",731,green,1500.0,red,,-92915,0.0,stim,2.0,poldrack-categorize,s618
1500.0,congruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",653,green,1500.0,green,,-90657,0.0,stim,3.0,poldrack-categorize,s618
1500.0,incongruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",402,blue,1500.0,green,,-88395,0.0,stim,4.0,poldrack-categorize,s618
1500.0,incongruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",684,red,1500.0,green,,-86140,0.0,stim,5.0,poldrack-categorize,s618
1500.0,incongruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",744,green,1500.0,blue,,-83884,0.0,stim,6.0,poldrack-categorize,s618
1500.0,congruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",434,blue,1500.0,blue,,-81622,0.0,stim,7.0,poldrack-categorize,s618
1500.0,congruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",516,red,1500.0,red,,-79361,0.0,stim,8.0,poldrack-categorize,s618
1500.0,incongruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",517,blue,1500.0,red,,-77106,0.0,stim,9.0,poldrack-categorize,s618
2272.0,incongruent,1.0,89.0,test,stroop,,89,"89,71,82",777,red,1500.0,blue,,5785,0.0,stim,0.0,poldrack-single-stim,s618
2000.0,incongruent,1.0,89.0,test,stroop,,89,"89,71,82",631,red,1500.0,green,,7791,0.0,stim,1.0,poldrack-single-stim,s618
2000.0,congruent,1.0,71.0,test,stroop,,71,"89,71,82",558,blue,1500.0,blue,,9796,0.0,stim,2.0,poldrack-single-stim,s618
