SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stop_response,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",919,850.0,,False,,-68946,250.0,stim,0.0,poldrack-categorize,s619
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",571,850.0,,False,,-66338,250.0,stim,1.0,poldrack-categorize,s619
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",937,850.0,,False,,-63730,250.0,stim,2.0,poldrack-categorize,s619
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",743,850.0,,False,,-61122,250.0,stim,3.0,poldrack-categorize,s619
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",578,850.0,,False,,-58514,250.0,stim,4.0,poldrack-categorize,s619
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",657,850.0,,False,,-55911,250.0,stim,5.0,poldrack-categorize,s619
,,,,1850.0,,1.0,89.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",696,850.0,,False,,-53303,250.0,stim,6.0,poldrack-categorize,s619
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",621,850.0,,False,,-50695,250.0,stim,7.0,poldrack-categorize,s619
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",495,850.0,,False,,-48087,250.0,stim,8.0,poldrack-categorize,s619
,,,,1850.0,,1.0,71.0,practice,motor_selective_stop_signal,500.0,71.0,False,"89,71",573,850.0,,False,,-45479,250.0,stim,9.0,poldrack-categorize,s619
,,,,1850.0,,0.0,71.0,practice,motor_selective_stop_signal,500.0,89.0,False,"89,71",937,850.0,,False,,-42871,250.0,stim,10.0,poldrack-categorize,s619
,,,,1850.0,,0.0,89.0,practice,motor_selective_stop_signal,500.0,-1.0,False,"89,71",-1,850.0,,True,,-40260,250.0,stim,11.0,poldrack-categorize,s619
350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,go,1.0,89.0,test,motor_selective_stop_signal,,89.0,False,"89,71",582,850.0,89.0,False,,5261,0.0,stim,0.0,stop-signal,s619
350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2250.0,go,1.0,71.0,test,motor_selective_stop_signal,,71.0,False,"89,71",635,850.0,89.0,False,,7513,0.0,stim,1.0,stop-signal,s619
350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2350.0,ignore,1.0,71.0,test,motor_selective_stop_signal,,71.0,False,"89,71",639,850.0,89.0,False,,9867,0.0,stim,2.0,stop-signal,s619
350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2550.0,stop,1.0,89.0,test,motor_selective_stop_signal,,89.0,False,"89,71",523,850.0,89.0,False,,12420,0.0,stim,3.0,stop-signal,s619
300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2950.0,go,0.0,71.0,test,motor_selective_stop_signal,,89.0,False,"89,71",885,850.0,89.0,False,,15374,0.0,stim,4.0,stop-signal,s619
300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,stop,1.0,89.0,test,motor_selective_stop_signal,,89.0,False,"89,71",661,850.0,89.0,False,,17628,0.0,stim,5.0,stop-signal,s619
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2350.0,go,1.0,89.0,test,motor_selective_stop_signal,,89.0,False,"89,71",732,850.0,89.0,False,,19982,0.0,stim,6.0,stop-signal,s619
250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,2550.0,go,1.0,89.0,test,motor_selective_stop_signal,,89.0,False,"89,71",584,850.0,89.0,False,,22537,0.0,stim,7.0,stop-signal,s619
