block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,possible_responses,rt,stim_duration,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
1700.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",418,500.0,,-86474,0.0,probe,0.0,poldrack-single-stim,s625
1500.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",867,500.0,,-81957,0.0,probe,1.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",405,500.0,,-77439,0.0,probe,2.0,poldrack-single-stim,s625
2100.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",385,500.0,,-72325,0.0,probe,3.0,poldrack-single-stim,s625
1500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",283,500.0,,-67813,0.0,probe,4.0,poldrack-single-stim,s625
1900.0,AX,1.0,89.0,practice,dot_pattern_expectancy,89.0,"89,71",412,500.0,,-62900,0.0,probe,5.0,poldrack-single-stim,s625
2300.0,AY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",586,500.0,,-57588,0.0,probe,6.0,poldrack-single-stim,s625
1500.0,AX,0.0,89.0,practice,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,-53070,0.0,probe,7.0,poldrack-single-stim,s625
1500.0,BX,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",759,500.0,,-48553,0.0,probe,8.0,poldrack-single-stim,s625
2500.0,BY,1.0,71.0,practice,dot_pattern_expectancy,71.0,"89,71",384,500.0,,-43040,0.0,probe,9.0,poldrack-single-stim,s625
1636.0,AY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",834,500.0,,7156,0.0,probe,0.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",470,500.0,,11305,0.0,probe,1.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",424,500.0,,15316,0.0,probe,2.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",570,500.0,,19331,0.0,probe,3.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",554,500.0,,23749,0.0,probe,4.0,poldrack-single-stim,s625
1636.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",835,500.0,,27900,0.0,probe,5.0,poldrack-single-stim,s625
2044.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",429,500.0,,32460,0.0,probe,6.0,poldrack-single-stim,s625
1772.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",377,500.0,,36745,0.0,probe,7.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",800,500.0,,40762,0.0,probe,8.0,poldrack-single-stim,s625
2180.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",398,500.0,,45456,0.0,probe,9.0,poldrack-single-stim,s625
1500.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",372,500.0,,49472,0.0,probe,10.0,poldrack-single-stim,s625
3676.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",378,500.0,,55659,0.0,probe,11.0,poldrack-single-stim,s625
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",334,500.0,,59808,0.0,probe,12.0,poldrack-single-stim,s625
1636.0,BY,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",256,500.0,,63958,0.0,probe,13.0,poldrack-single-stim,s625
1500.0,BX,0.0,71.0,test,dot_pattern_expectancy,-1.0,"89,71",-1,500.0,,67969,0.0,probe,14.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",464,500.0,,72387,0.0,probe,15.0,poldrack-single-stim,s625
1636.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",269,500.0,,76534,0.0,probe,16.0,poldrack-single-stim,s625
1500.0,BX,1.0,71.0,test,dot_pattern_expectancy,71.0,"89,71",700,500.0,,80551,0.0,probe,17.0,poldrack-single-stim,s625
1908.0,AX,1.0,89.0,test,dot_pattern_expectancy,89.0,"89,71",742,500.0,,84972,0.0,probe,18.0,poldrack-single-stim,s625
