SS_delay,SS_duration,SS_stimulus,SS_trial_type,block_duration,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,passed_check,possible_responses,rt,stim_duration,stopped,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",1233,850.0,False,,-64226,250.0,stim,0.0,poldrack-categorize,s634
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",596,850.0,False,,-61624,250.0,stim,1.0,poldrack-categorize,s634
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",540,850.0,False,,-59021,250.0,stim,2.0,poldrack-categorize,s634
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",564,850.0,False,,-56419,250.0,stim,3.0,poldrack-categorize,s634
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",458,850.0,False,,-53818,250.0,stim,4.0,poldrack-categorize,s634
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",467,850.0,False,,-51217,250.0,stim,5.0,poldrack-categorize,s634
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",499,850.0,False,,-48615,250.0,stim,6.0,poldrack-categorize,s634
,,,,1850.0,0.0,71.0,practice,stop_signal,500.0,89.0,True,"89,71",522,850.0,False,,-46013,250.0,stim,7.0,poldrack-categorize,s634
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",661,850.0,False,,-43412,250.0,stim,8.0,poldrack-categorize,s634
,,,,1850.0,1.0,71.0,practice,stop_signal,500.0,71.0,True,"89,71",501,850.0,False,,-40810,250.0,stim,9.0,poldrack-categorize,s634
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",518,850.0,False,,-38207,250.0,stim,10.0,poldrack-categorize,s634
,,,,1850.0,1.0,89.0,practice,stop_signal,500.0,89.0,True,"89,71",738,850.0,False,,-35605,250.0,stim,11.0,poldrack-categorize,s634
200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,3066.0,1.0,71.0,test,stop_signal,,71.0,True,"89,71",641,850.0,False,,6072,0.0,stim,0.0,stop-signal,s634
150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,2250.0,0.0,71.0,test,stop_signal,,-1.0,True,"89,71",-1,850.0,True,,8323,0.0,stim,1.0,stop-signal,s634
