block_duration,condition,correct,correct_response,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_word,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
1500.0,congruent,0.0,82.0,practice,stroop,500.0,-1,"89,71,82",-1,green,1500.0,green,,-62442,0.0,stim,1.0,poldrack-categorize,s649
1500.0,incongruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",711,blue,1500.0,red,,-60176,0.0,stim,2.0,poldrack-categorize,s649
1500.0,incongruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",731,red,1500.0,blue,,-57911,0.0,stim,3.0,poldrack-categorize,s649
1500.0,incongruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",734,green,1500.0,red,,-55647,0.0,stim,4.0,poldrack-categorize,s649
1500.0,congruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",650,blue,1500.0,blue,,-53384,0.0,stim,5.0,poldrack-categorize,s649
1500.0,congruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",610,red,1500.0,red,,-51118,0.0,stim,6.0,poldrack-categorize,s649
1500.0,incongruent,1.0,71.0,practice,stroop,500.0,71,"89,71,82",791,blue,1500.0,green,,-48854,0.0,stim,7.0,poldrack-categorize,s649
1500.0,incongruent,1.0,89.0,practice,stroop,500.0,89,"89,71,82",854,red,1500.0,green,,-46587,0.0,stim,8.0,poldrack-categorize,s649
1500.0,incongruent,1.0,82.0,practice,stroop,500.0,82,"89,71,82",690,green,1500.0,blue,,-44322,0.0,stim,9.0,poldrack-categorize,s649
2000.0,incongruent,1.0,71.0,test,stroop,,71,"89,71,82",998,blue,1500.0,green,,5524,0.0,stim,0.0,poldrack-single-stim,s649
2000.0,congruent,1.0,82.0,test,stroop,,82,"89,71,82",691,green,1500.0,green,,7531,0.0,stim,1.0,poldrack-single-stim,s649
2272.0,incongruent,1.0,82.0,test,stroop,,82,"89,71,82",677,green,1500.0,red,,9806,0.0,stim,2.0,poldrack-single-stim,s649
2000.0,incongruent,1.0,89.0,test,stroop,,89,"89,71,82",394,red,1500.0,green,,11812,0.0,stim,3.0,poldrack-single-stim,s649
2136.0,congruent,1.0,71.0,test,stroop,,71,"89,71,82",380,blue,1500.0,blue,,13950,0.0,stim,4.0,poldrack-single-stim,s649
2000.0,congruent,1.0,82.0,test,stroop,,82,"89,71,82",677,green,1500.0,green,,15955,0.0,stim,5.0,poldrack-single-stim,s649
2136.0,congruent,1.0,82.0,test,stroop,,82,"89,71,82",780,green,1500.0,green,,18095,0.0,stim,6.0,poldrack-single-stim,s649
2000.0,congruent,1.0,82.0,test,stroop,,82,"89,71,82",585,green,1500.0,green,,20101,0.0,stim,7.0,poldrack-single-stim,s649
2000.0,congruent,1.0,89.0,test,stroop,,89,"89,71,82",480,red,1500.0,red,,22106,0.0,stim,8.0,poldrack-single-stim,s649
2000.0,incongruent,1.0,71.0,test,stroop,,71,"89,71,82",439,blue,1500.0,green,,24112,0.0,stim,9.0,poldrack-single-stim,s649
2272.0,incongruent,1.0,71.0,test,stroop,,71,"89,71,82",833,blue,1500.0,red,,26389,0.0,stim,10.0,poldrack-single-stim,s649
2000.0,incongruent,1.0,82.0,test,stroop,,82,"89,71,82",649,green,1500.0,blue,,28392,0.0,stim,11.0,poldrack-single-stim,s649
2136.0,incongruent,1.0,82.0,test,stroop,,82,"89,71,82",930,green,1500.0,red,,30534,0.0,stim,12.0,poldrack-single-stim,s649
2408.0,congruent,1.0,82.0,test,stroop,,82,"89,71,82",630,green,1500.0,green,,32948,0.0,stim,13.0,poldrack-single-stim,s649
2272.0,incongruent,1.0,71.0,test,stroop,,71,"89,71,82",588,blue,1500.0,red,,35224,0.0,stim,14.0,poldrack-single-stim,s649
