rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,current_position,num_moves_made,min_moves,start_state,goal_state,condition,problem_id,problem_time,correct,exp_id
18434,13,text,0,18436,0.0-0.0,s499,,,,,,,,,,,,,,,,,,
2207,89,poldrack-text,1,21648,0.0-1.0,s499,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,2207,500,fmri_response_test,,,,,,,,,,,,,,
1038,71,poldrack-text,2,23188,0.0-2.0,s499,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,1038,500,fmri_response_test,,,,,,,,,,,,,,
1412,82,poldrack-text,3,25103,0.0-3.0,s499,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,1412,500,fmri_response_test,,,,,,,,,,,,,,
7287,32,poldrack-single-stim,4,32897,0.0-4.0,s499,,7287,0,instructions,<div class = centerbox><div class = center-text>Solve the Tower Tasks!<br><br>Plan ahead first and work swiftly!<br><br>We'll start with some practice.</div></div>,32,7287,,,,,,,,,,,
135793,32,poldrack-text,5,168691,0.0-5.0,s499,"<div class = centerbox><div style = 'font-size: 50px', class = center-text>Scan will start after scanner calibration</p></div>",135793,0,fmri_scanner_wait,,,,,,,,,,,,,,
162,84,poldrack-text,6,168853,0.0-6.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,162,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,7,169534,0.0-7.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,8,170214,0.0-8.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
678,84,poldrack-text,9,170892,0.0-9.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,10,171573,0.0-10.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,11,172253,0.0-11.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
678,84,poldrack-text,12,172933,0.0-12.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,13,173613,0.0-13.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,14,174292,0.0-14.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,15,174972,0.0-15.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
680,84,poldrack-text,16,175652,0.0-16.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,680,0,fmri_trigger_wait,,,,,,,,,,,,,,
681,84,poldrack-text,17,176334,0.0-17.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,681,0,fmri_trigger_wait,,,,,,,,,,,,,,
678,84,poldrack-text,18,177013,0.0-18.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,678,0,fmri_trigger_wait,,,,,,,,,,,,,,
679,84,poldrack-text,19,177693,0.0-19.0,s499,<div class = centerbox><div  class = center-text>Scanner calibration<br><strong>Please don't move!</strong></div></div>,679,0,fmri_trigger_wait,,,,,,,,,,,,,,
