"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"2147","13","text","0","2149","0.0-0.0","s593","","","","","","","","","","","","","","","",""
"1202","89","poldrack-text","1","4359","0.0-1.0","s593","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1202","500","fmri_response_test","","","","","","","","","","","",""
"778","71","poldrack-text","2","5640","0.0-2.0","s593","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","778","500","fmri_response_test","","","","","","","","","","","",""
"737","82","poldrack-text","3","6879","0.0-3.0","s593","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","737","500","fmri_response_test","","","","","","","","","","","",""
"27689","32","poldrack-single-stim","4","35075","0.0-4.0","s593","","27689","500","instructions","<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>","32","27689","","","","","","","","",""
"920","71","poldrack-categorize","5","37587","0.0-5.0-0.0-0.0","s593","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82","1500","false","82","500","incongruent","green","red","1","practice",""
"-1","-1","poldrack-single-stim","6","37844","0.0-5.0-1.0","s593","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"673","71","poldrack-categorize","7","39850","0.0-5.0-2.0-0.0","s593","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82","1500","true","71","500","congruent","blue","blue","2","practice",""
"-1","-1","poldrack-single-stim","8","40106","0.0-5.0-3.0","s593","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
"539","82","poldrack-categorize","9","42113","0.0-5.0-4.0-0.0","s593","","1500","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82","1500","true","82","500","congruent","green","green","3","practice",""
"-1","-1","poldrack-single-stim","10","42364","0.0-5.0-5.0","s593","","250","0","fixation","<div class = centerbox><div class = fixation>+</div></div>","none","250","","","","","","","","",""
