rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,survey,item_responses,item_coding,item_text,options,response,coded_response,exp_id
34978,13,text,0,34981,0.0-0.0,s609,,,,,,,,,,,,,,,
1250,66,poldrack-text,1,37237,0.0-1.0,s609,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>,1250.0,500.0,fmri_response_test,,,,,,,,,,,
662,89,poldrack-text,2,38403,0.0-2.0,s609,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,662.0,500.0,fmri_response_test,,,,,,,,,,,
393,71,poldrack-text,3,39297,0.0-3.0,s609,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,393.0,500.0,fmri_response_test,,,,,,,,,,,
329,82,poldrack-text,4,40129,0.0-4.0,s609,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,329.0,500.0,fmri_response_test,,,,,,,,,,,
278,77,poldrack-text,5,40910,0.0-5.0,s609,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>,278.0,500.0,fmri_response_test,,,,,,,,,,,
22290,32,poldrack-single-stim,6,63708,0.0-6.0,s609,,22290.0,0.0,instructions,<div class = centerbox><div class = center-text>Respond to the questions!</div></div>,32,22290.0,,,,,,,,
23060,32,poldrack-text,7,86769,0.0-7.0,s609,<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,23060.0,0.0,fmri_scanner_wait,,,,,,,,,,,
7559,84,poldrack-text,8,94328,0.0-8.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,7559.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,9,95008,0.0-9.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
681,84,poldrack-text,10,95690,0.0-10.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,681.0,0.0,fmri_trigger_wait,,,,,,,,,,,
678,84,poldrack-text,11,96368,0.0-11.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,12,97048,0.0-12.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,13,97728,0.0-13.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,14,98408,0.0-14.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,15,99088,0.0-15.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,16,99769,0.0-16.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
679,84,poldrack-text,17,100448,0.0-17.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,18,101128,0.0-18.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,19,101808,0.0-19.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,20,102488,0.0-20.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,21,103168,0.0-21.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,22,103848,0.0-22.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
680,84,poldrack-text,23,104528,0.0-23.0,s609,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,,
-1,-1,poldrack-single-stim,24,105534,0.0-24.0,s609,,1000.0,0.0,fmri_buffer,,none,1000.0,,,,,,,,
4540,82,poldrack-single-stim,25,114674,0.0-25.0-0.0,s609,,9136.0,0.0,,"<div class = centerbox><p class=item-text>I refuse things that are bad for me.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77",8500.0,brief,"66,89,71,82,77",forward,I refuse things that are bad for me.,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>",4.0,4.0,
