"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","exp_id"
"1935","13","text","0","1939","0.0-0.0","s611","","","","","","","","","","","","","","","","","",""
"1187","89","poldrack-text","1","4130","0.0-1.0","s611","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1187","500","fmri_response_test","","","","","","","","","","","","","",""
"501","71","poldrack-text","2","5135","0.0-2.0","s611","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","501","500","fmri_response_test","","","","","","","","","","","","","",""
"12285","","survey-text","3","17929","0.0-3.0","s611","","","","task_setup","{""Q0"":""300""}","","","","","","","","","","","","",""
"27290","32","poldrack-single-stim","4","46252","0.0-4.0","s611","","27290","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>index finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","27290","","","","","","","","","",""
"810","89","poldrack-categorize","5","48606","0.0-5.0-0.0-0.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","0","","","","",""
"476","89","poldrack-categorize","6","51219","0.0-5.0-0.0-1.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","1","","","","",""
"482","71","poldrack-categorize","7","53825","0.0-5.0-0.0-2.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","2","","","","",""
"380","71","poldrack-categorize","8","56435","0.0-5.0-0.0-3.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","3","","","","",""
"441","71","poldrack-categorize","9","59038","0.0-5.0-0.0-4.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>","89,71","850","true","71","500","practice","4","","","","",""
"674","89","poldrack-categorize","10","61646","0.0-5.0-0.0-5.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","5","","","","",""
"756","71","poldrack-categorize","11","64253","0.0-5.0-0.0-6.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","6","","","","",""
"507","89","poldrack-categorize","12","66862","0.0-5.0-0.0-7.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","7","","","","",""
"421","89","poldrack-categorize","13","69464","0.0-5.0-0.0-8.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>","89,71","850","true","89","500","practice","8","","","","",""
"557","89","poldrack-categorize","14","72073","0.0-5.0-0.0-9.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>","89,71","850","true","89","500","practice","9","","","","",""
"407","89","poldrack-categorize","15","74681","0.0-5.0-0.0-10.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","false","71","500","practice","10","","","","",""
"614","71","poldrack-categorize","16","77289","0.0-5.0-0.0-11.0","s611","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>","89,71","850","true","71","500","practice","11","","","","",""
"20009","32","poldrack-text","17","97549","0.0-6.0","s611","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","20009","0","fmri_scanner_wait","","","","","","","","","","","","","",""
"1428","84","poldrack-text","18","98977","0.0-7.0","s611","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1428","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","19","99657","0.0-8.0","s611","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","20","100337","0.0-9.0","s611","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"679","84","poldrack-text","21","101017","0.0-10.0","s611","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","","","","",""
"680","84","poldrack-text","22","101697","0.0-11.0","s611","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","","","","",""
