rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,survey,item_coding,item_text,options,response,coded_response,exp_id
2565,13,text,0,2568,0.0-0.0,s611,,,,,,,,,,,,,,
18208,66,poldrack-text,1,21780,0.0-1.0,s611,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb finger</p></div>,18208.0,500.0,fmri_response_test,,,,,,,,,,
1152,89,poldrack-text,2,23434,0.0-2.0,s611,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,1152.0,500.0,fmri_response_test,,,,,,,,,,
486,71,poldrack-text,3,24426,0.0-3.0,s611,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,486.0,500.0,fmri_response_test,,,,,,,,,,
444,82,poldrack-text,4,25371,0.0-4.0,s611,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,444.0,500.0,fmri_response_test,,,,,,,,,,
452,77,poldrack-text,5,26327,0.0-5.0,s611,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>,452.0,500.0,fmri_response_test,,,,,,,,,,
25342,32,poldrack-single-stim,6,52175,0.0-6.0,s611,,25342.0,0.0,instructions,<div class = centerbox><div class = center-text>Respond to the questions!</div></div>,32,25342.0,,,,,,,
25869,32,poldrack-text,7,78045,0.0-7.0,s611,<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,25869.0,0.0,fmri_scanner_wait,,,,,,,,,,
1730,84,poldrack-text,8,79775,0.0-8.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,1730.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,9,80455,0.0-9.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,10,81136,0.0-10.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,
678,84,poldrack-text,11,81816,0.0-11.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678.0,0.0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,12,82496,0.0-12.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,13,83176,0.0-13.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,14,83856,0.0-14.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
678,84,poldrack-text,15,84535,0.0-15.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,16,85215,0.0-16.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,17,85895,0.0-17.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,18,86575,0.0-18.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,19,87255,0.0-19.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,20,87935,0.0-20.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,21,88616,0.0-21.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,22,89295,0.0-22.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679.0,0.0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,23,89975,0.0-23.0,s611,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680.0,0.0,fmri_trigger_wait,,,,,,,,,,
-1,-1,poldrack-single-stim,24,90981,0.0-24.0,s611,,1000.0,0.0,fmri_buffer,,none,1000.0,,,,,,,
4733,82,poldrack-single-stim,25,101345,0.0-25.0-0.0,s611,,10360.0,0.0,,"<div class = centerbox><p class=item-text>Pleasure and fun sometimes keep me from getting work done.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77",8500.0,brief,reverse,Pleasure and fun sometimes keep me from getting work done.,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>",4.0,2.0,
