"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","exp_stage","condition","trial_num","correct_response","correct","exp_id"
"5062","13","text","0","5064","0.0-0.0","s614","","","","","","","","","","","","","",""
"2664","89","poldrack-text","1","8736","0.0-1.0","s614","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2664","500","fmri_response_test","","","","","","","","","",""
"834","71","poldrack-text","2","10073","0.0-2.0","s614","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","834","500","fmri_response_test","","","","","","","","","",""
"25418","","survey-text","3","36000","0.0-3.0","s614","","","","task_setup","{""Q0"":""1"",""Q1"":""4""}","","","","","","","","",""
"43758","32","poldrack-single-stim","4","80765","0.0-4.0","s614","","43758","500","instructions","","<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe4.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>","32","43758","","","","","",""
"-1","-1","poldrack-single-stim","5","81775","0.0-5.0-0.0","s614","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue4.png""</img></div></div>","none","500","practice","BY","0","","",""
"-1","-1","poldrack-single-stim","6","83777","0.0-5.0-1.0","s614","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"895","71","poldrack-single-stim","7","85281","0.0-5.0-2.0","s614","","1500","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71","500","practice","BY","0","71","true",""
"-1","-1","poldrack-single-stim","8","85787","0.0-5.0-3.0","s614","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","1","","",""
"-1","-1","poldrack-single-stim","9","86289","0.0-5.0-4.0","s614","","500","0","cue","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>","none","500","practice","BY","1","","",""
"-1","-1","poldrack-single-stim","10","88291","0.0-5.0-5.0","s614","","2000","0","fixation","","<div class = centerbox><div class = fixation>+</div></div>","none","2000","practice","","","","",""
"610","71","poldrack-single-stim","11","89996","0.0-5.0-6.0","s614","","1700","0","probe","","<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71","500","practice","BY","1","71","true",""
"-1","-1","poldrack-single-stim","12","90502","0.0-5.0-7.0","s614","","500","0","feedback","","<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>","none","500","practice","","2","","",""
