"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","survey","item_responses","item_coding","item_text","options","response","coded_response","exp_id"
"2210","13","text","0","2212","0.0-0.0","s615","","","","","","","","","","","","","","",""
"2210","66","poldrack-text","1","5427","0.0-1.0","s615","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>","2210","500","fmri_response_test","","","","","","","","","","",""
"1049","89","poldrack-text","2","6980","0.0-2.0","s615","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1049","500","fmri_response_test","","","","","","","","","","",""
"1099","71","poldrack-text","3","8581","0.0-3.0","s615","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","1099","500","fmri_response_test","","","","","","","","","","",""
"1117","82","poldrack-text","4","10203","0.0-4.0","s615","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>","1117","500","fmri_response_test","","","","","","","","","","",""
"857","77","poldrack-text","5","11562","0.0-5.0","s615","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>","857","500","fmri_response_test","","","","","","","","","","",""
"32303","32","poldrack-single-stim","6","44368","0.0-6.0","s615","","32303","0","instructions","<div class = centerbox><div class = center-text>Respond to the questions!</div></div>","32","32303","","","","","","","",""
"21274","32","poldrack-text","7","65643","0.0-7.0","s615","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","21274","0","fmri_scanner_wait","","","","","","","","","","",""
"2169","84","poldrack-text","8","67813","0.0-8.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","2169","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","9","68493","0.0-9.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","10","69173","0.0-10.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","11","69853","0.0-11.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","12","70533","0.0-12.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","13","71213","0.0-13.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","14","71893","0.0-14.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","15","72573","0.0-15.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","16","73253","0.0-16.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","17","73933","0.0-17.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","18","74613","0.0-18.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","19","75293","0.0-19.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"680","84","poldrack-text","20","75973","0.0-20.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","21","76653","0.0-21.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","22","77333","0.0-22.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"679","84","poldrack-text","23","78013","0.0-23.0","s615","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","","",""
"-1","-1","poldrack-single-stim","24","79019","0.0-24.0","s615","","1000","0","fmri_buffer","","none","1000","","","","","","","",""
