"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","responses","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","exp_stage","trial_num","SS_stimulus","SS_delay","SS_trial_type","SS_duration","condition","stop_response","exp_id"
"1587","13","text","0","1589","0.0-0.0","s625","","","","","","","","","","","","","","","","","","","",""
"2786","71","poldrack-text","1","5378","0.0-1.0","s625","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","2786","500","fmri_response_test","","","","","","","","","","","","","","","",""
"1286","89","poldrack-text","2","7170","0.0-2.0","s625","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","1286","500","fmri_response_test","","","","","","","","","","","","","","","",""
"7653","","survey-text","3","15333","0.0-3.0","s625","","","","task_setup","{""Q0"":""450""}","","","","","","","","","","","","","","",""
"43147","32","poldrack-single-stim","4","59507","0.0-4.0","s625","","43147","0","instructions","","<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img>middle finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star if your response was going to be your middle finger!</strong></p><p class = instruct-text>We will start with practice</p></div>","32","43147","","","","","","","","","","","",""
"1008","71","poldrack-categorize","5","61867","0.0-5.0-0.0-0.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","71,89","850","true","71","500","practice","0","","","","","","",""
"445","71","poldrack-categorize","6","64472","0.0-5.0-0.0-1.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","71,89","850","true","71","500","practice","1","","","","","","",""
"567","71","poldrack-categorize","7","67075","0.0-5.0-0.0-2.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","71,89","850","true","71","500","practice","2","","","","","","",""
"587","89","poldrack-categorize","8","69678","0.0-5.0-0.0-3.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","71,89","850","true","89","500","practice","3","","","","","","",""
"593","71","poldrack-categorize","9","72286","0.0-5.0-0.0-4.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","71,89","850","true","71","500","practice","4","","","","","","",""
"522","71","poldrack-categorize","10","74895","0.0-5.0-0.0-5.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/Lshape.png></img></div>","71,89","850","true","71","500","practice","5","","","","","","",""
"530","89","poldrack-categorize","11","77508","0.0-5.0-0.0-6.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","71,89","850","true","89","500","practice","6","","","","","","",""
"621","89","poldrack-categorize","12","80116","0.0-5.0-0.0-7.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","71,89","850","true","89","500","practice","7","","","","","","",""
"537","71","poldrack-categorize","13","82724","0.0-5.0-0.0-8.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/circle.png></img></div>","71,89","850","true","71","500","practice","8","","","","","","",""
"647","89","poldrack-categorize","14","85335","0.0-5.0-0.0-9.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","71,89","850","true","89","500","practice","9","","","","","","",""
"555","89","poldrack-categorize","15","87940","0.0-5.0-0.0-10.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/triangle.png></img></div>","71,89","850","true","89","500","practice","10","","","","","","",""
"624","89","poldrack-categorize","16","90548","0.0-5.0-0.0-11.0","s625","","1850","250","stim","","<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/motor_selective_stop_signal/images/rhombus.png></img></div>","71,89","850","true","89","500","practice","11","","","","","","",""
"26328","32","poldrack-text","17","117127","0.0-6.0","s625","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","26328","0","fmri_scanner_wait","","","","","","","","","","","","","","","",""
"7457","84","poldrack-text","18","124585","0.0-7.0","s625","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","7457","0","fmri_trigger_wait","","","","","","","","","","","","","","","",""
