text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,trigger_times,stimulus,possible_responses,stim_duration,survey,item_responses,item_coding,item_text,options,response,coded_response
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your thumb</p></div>,1951,66,1951,500,fmri_response_test,poldrack-text,0,1952,0.0-0.0,survey_medley,,,,,,,,,,,
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,992,89,992,500,fmri_response_test,poldrack-text,1,3452,0.0-1.0,survey_medley,,,,,,,,,,,
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,1089,71,1089,500,fmri_response_test,poldrack-text,2,5046,0.0-2.0,survey_medley,,,,,,,,,,,
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,867,82,867,500,fmri_response_test,poldrack-text,3,6418,0.0-3.0,survey_medley,,,,,,,,,,,
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your pinky finger</p></div>,1358,77,1358,500,fmri_response_test,poldrack-text,4,8280,0.0-4.0,survey_medley,,,,,,,,,,,
,9989,32,9989,0,instructions,poldrack-single-stim,5,18776,0.0-5.0,survey_medley,,<div class = centerbox><div class = center-text>Respond to the questions!</div></div>,32,9989.0,,,,,,,
<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,28085,32,28085,0,fmri_scanner_wait,poldrack-text,6,46861,0.0-6.0,survey_medley,"30790,32653,33707,33740,34007,38408",,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,972,84,972,0,fmri_trigger_wait,poldrack-text,7,47833,0.0-7.0,survey_medley,,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,8,48514,0.0-8.0,survey_medley,47833,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,9,49193,0.0-9.0,survey_medley,48514,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,10,49873,0.0-10.0,survey_medley,49193,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,11,50553,0.0-11.0,survey_medley,49873,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,12,51232,0.0-12.0,survey_medley,50553,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,681,84,681,0,fmri_trigger_wait,poldrack-text,13,51913,0.0-13.0,survey_medley,51232,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,14,52593,0.0-14.0,survey_medley,51914,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,15,53273,0.0-15.0,survey_medley,52593,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,16,53953,0.0-16.0,survey_medley,53273,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,17,54632,0.0-17.0,survey_medley,53954,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,681,84,681,0,fmri_trigger_wait,poldrack-text,18,55313,0.0-18.0,survey_medley,54632,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,19,55993,0.0-19.0,survey_medley,55313,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,20,56673,0.0-20.0,survey_medley,55994,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,681,84,681,0,fmri_trigger_wait,poldrack-text,21,57354,0.0-21.0,survey_medley,56674,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,22,58033,0.0-22.0,survey_medley,57354,,,,,,,,,,
,-1,-1,1000,0,fmri_buffer,poldrack-single-stim,23,59039,0.0-23.0,survey_medley,"58034,58713",,none,1000.0,,,,,,,
,4515,82,9068,0,,poldrack-single-stim,24,68114,0.0-24.0-0.0,survey_medley,"59393,60073,60753,61433,62113,62793,63473,64153,64832,65512,66193,66873,67554","<div class = centerbox><p class=item-text>I wish I had more self-discipline.</p></div><div class=response-text><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Not at all</span></div><div class=response-item>1</div><div class=response-item>2</div><div class=response-item>3</div><div class=response-item>4</div><div class=response-item>5</div><div class=response-item><span style=""font-weight: normal; font-size: 30px"">Very much</span></div></div>","66,89,71,82,77",8500.0,brief,"66,89,71,82,77",reverse,I wish I had more self-discipline.,"<span style=""font-weight: normal; font-size: 30px"">Not at all</span>,1,2,3,4,5,<span style=""font-weight: normal; font-size: 30px"">Very much</span>",4.0,2.0
,5645,89,10292,0,,poldrack-single-stim,25,78412,0.0-24.0-1.0,survey_medley,"68233,68913,69593,70274,70954,71633,72314,72994,73674,74354,75033,75713,76392,77073,77752",<div class = centerbox><p class=item-text>Do you sometimes like doing things that are a bit frightening?</p></div><div class=response-text><div class=response-item>No</div><div class=response-item>Yes</div></div>,"66,89,71,82,77",8500.0,impulsive_venture,"66,89",forward,Do you sometimes like doing things that are a bit frightening?,"No,Yes",2.0,2.0
