"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","trigger_times","stimulus","possible_responses","stim_duration","exp_stage","which_round","num_click_in_round","num_cards","num_loss_cards","gain_amount","loss_amount","round_points","clicked_on_loss_card","reward"
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","2482","89","2482","500","fmri_response_test","poldrack-text","0","2484","0.0-0.0","columbia_card_task_hot","","","","","","","","","","","","","",""
"<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","774","71","774","500","fmri_response_test","poldrack-text","1","3764","0.0-1.0","columbia_card_task_hot","","","","","","","","","","","","","",""
"","61725","32","61725","500","instructions","poldrack-single-stim","2","65994","0.0-2.0","columbia_card_task_hot","","<div class = centerbox><div class = center-text>Try to get as many points as possible<br><br>The loss amount, the gain amount, and the number of loss cards may change each trial<br><br>Index Finger: Take Another Card<br>Middle Finger: End The Round</div></div>","32","61725","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","25542","32","25542","0","fmri_scanner_wait","poldrack-text","3","92041","0.0-3.0","columbia_card_task_hot","81080","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","1094","84","1094","0","fmri_trigger_wait","poldrack-text","4","93135","0.0-4.0","columbia_card_task_hot","","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","5","93815","0.0-5.0","columbia_card_task_hot","93135","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","6","94495","0.0-6.0","columbia_card_task_hot","93816","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","7","95175","0.0-7.0","columbia_card_task_hot","94496","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","8","95855","0.0-8.0","columbia_card_task_hot","95175","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","9","96535","0.0-9.0","columbia_card_task_hot","95856","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","10","97215","0.0-10.0","columbia_card_task_hot","96535","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","11","97895","0.0-11.0","columbia_card_task_hot","97216","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","12","98575","0.0-12.0","columbia_card_task_hot","97896","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","13","99255","0.0-13.0","columbia_card_task_hot","98576","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","14","99935","0.0-14.0","columbia_card_task_hot","99256","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","15","100615","0.0-15.0","columbia_card_task_hot","99936","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","84","679","0","fmri_trigger_wait","poldrack-text","16","101295","0.0-16.0","columbia_card_task_hot","100616","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","17","101975","0.0-17.0","columbia_card_task_hot","101296","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","84","680","0","fmri_trigger_wait","poldrack-text","18","102657","0.0-18.0","columbia_card_task_hot","101976","","","","","","","","","","","","",""
"<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","84","678","0","fmri_trigger_wait","poldrack-text","19","103335","0.0-19.0","columbia_card_task_hot","102657","","","","","","","","","","","","",""
"","-1","-1","1000","0","fmri_buffer","poldrack-single-stim","20","104341","0.0-20.0","columbia_card_task_hot","103336,104015","","none","1000","","","","","","","","","",""
"","-1","-1","1500","500","test_start_block","poldrack-single-stim","21","105847","0.0-21.0","columbia_card_task_hot","104695,105375","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","","","","",""
"","3269","89","3269","0","stim","poldrack-single-stim","22","109621","0.0-22.0-0.0-0.0","columbia_card_task_hot","106055,106735,107415,108095,108775,109455","<div class = cct-box><div class = titleBigBox>   <div class = titleboxLeft><div class = game-text id = game_round>Game Round: 1</div></div>   <div class = titleboxLeft1><div class = game-text id = loss_amount>Loss Amount: -70</div></div>    <div class = titleboxMiddle1><div class = game-text id = gain_amount>Gain Amount: 12</div></div>    <div class = titlebox><div class = game-text>How many cards do you want to take? </div></div>     <div class = titleboxRight1><div class = game-text id = num_loss_cards>Number of Loss Cards: 1</div></div>   <div class = titleboxRight><div class = game-text id = current_round>Current Round Points: 0</div></div><div class = cardbox><div class = square><input type='image' id = 1 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 2 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 3 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 4 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 5 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 6 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div></div>","89,71","3269","test","1","1","6","1","12","-70","-70","true",""
"","-1","-1","2318","0","ITI","poldrack-single-stim","23","111945","0.0-22.0-1.0","columbia_card_task_hot","110135,110815,111495","<div class = cct-box><div class = titleBigBox>   <div class = titleboxLeft><div class = game-text id = game_round>Game Round: 1</div></div>   <div class = titleboxLeft1><div class = game-text id = loss_amount>Loss Amount: -70</div></div>    <div class = titleboxMiddle1><div class = game-text id = gain_amount>Gain Amount: 12</div></div>    <div class = titlebox><div class = game-text>How many cards do you want to take? </div></div>     <div class = titleboxRight1><div class = game-text id = num_loss_cards>Number of Loss Cards: 1</div></div>   <div class = titleboxRight><div class = game-text id = current_round>Current Round Points: -70</div></div><div class = cardbox><div class = square><input type='image' id = 1 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 2 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 3 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 4 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 5 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/loss.png'></div><div class = square><input type='image' id = 6 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div></div>","none","2250","","","","","","","","","",""
"","3886","89","3886","0","stim","poldrack-single-stim","24","115833","0.0-22.1-0.1-0.1","columbia_card_task_hot","112174,112856,113535,114215,114895,115575","<div class = cct-box><div class = titleBigBox>   <div class = titleboxLeft><div class = game-text id = game_round>Game Round: 2</div></div>   <div class = titleboxLeft1><div class = game-text id = loss_amount>Loss Amount: -75</div></div>    <div class = titleboxMiddle1><div class = game-text id = gain_amount>Gain Amount: 14</div></div>    <div class = titlebox><div class = game-text>How many cards do you want to take? </div></div>     <div class = titleboxRight1><div class = game-text id = num_loss_cards>Number of Loss Cards: 1</div></div>   <div class = titleboxRight><div class = game-text id = current_round>Current Round Points: 0</div></div><div class = cardbox><div class = square><input type='image' id = 1 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 2 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 3 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 4 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 5 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div><div class = square><input type='image' id = 6 class = 'card_image' src='/static/experiments/columbia_card_task_hot/images/beforeChosen.png'></div></div>","89,71","3886","test","2","1","6","1","14","-75","14","false",""
