"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"4411","13","text","0","4413","0.0-0.0","s636","","","","","","","","","","","","","",""
"952","89","poldrack-text","1","6371","0.0-1.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>","952","500","fmri_response_test","","","","","","","","","",""
"325","71","poldrack-text","2","7201","0.0-2.0","s636","<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>","325","500","fmri_response_test","","","","","","","","","",""
"27052","32","poldrack-single-stim","3","34759","0.0-3.0","s636","","27052","500","instructions","<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>","32","27052","","","","","","",""
"648","71","poldrack-single-stim","4","35912","0.0-4.0","s636","","648","1000","stim","<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71","648","practice","","","","","",""
"28346","32","poldrack-text","5","65264","0.0-5.0","s636","<div class = centerbox><div  class = center-text>Scanner Setup</div></div>","28346","0","fmri_scanner_wait","","","","","","","","","",""
"917","84","poldrack-text","6","66181","0.0-6.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","917","0","fmri_trigger_wait","","","","","","","","","",""
"681","84","poldrack-text","7","66862","0.0-7.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","681","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","8","67542","0.0-8.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","9","68222","0.0-9.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","10","68902","0.0-10.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","11","69582","0.0-11.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","12","70261","0.0-12.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","13","70942","0.0-13.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","14","71622","0.0-14.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","15","72302","0.0-15.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","16","72982","0.0-16.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","17","73663","0.0-17.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"679","84","poldrack-text","18","74343","0.0-18.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","679","0","fmri_trigger_wait","","","","","","","","","",""
"678","84","poldrack-text","19","75022","0.0-19.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","",""
"680","84","poldrack-text","20","75703","0.0-20.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","680","0","fmri_trigger_wait","","","","","","","","","",""
"678","84","poldrack-text","21","76382","0.0-21.0","s636","<div class = centerbox><div  class = center-text>Task about to start!</div></div>","678","0","fmri_trigger_wait","","","","","","","","","",""
"-1","-1","poldrack-single-stim","22","77386","0.0-22.0","s636","","1000","0","fmri_buffer","","none","1000","","","","","","",""
"-1","-1","poldrack-single-stim","23","78892","0.0-23.0","s636","","1500","500","test_start_block","<div class = centerbox><div class = center-text>Get ready!</p></div>","none","1500","","","","","","",""
"871","71","poldrack-single-stim","24","84719","0.0-24.0","s636","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$31</div><br><br><div class = delbox style = ""color:white"">76 days</div></div>","89,71","4000","","20","31","76","smaller_sooner","",""
"719","71","poldrack-single-stim","25","89293","0.0-25.0","s636","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$43</div><br><br><div class = delbox style = ""color:white"">19 days</div></div>","89,71","4000","","20","43","19","smaller_sooner","",""
"929","71","poldrack-single-stim","26","93933","0.0-26.0","s636","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$60</div><br><br><div class = delbox style = ""color:white"">124 days</div></div>","89,71","4000","","20","60","124","smaller_sooner","",""
"708","89","poldrack-single-stim","27","98842","0.0-27.0","s636","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$27</div><br><br><div class = delbox style = ""color:white"">142 days</div></div>","89,71","4000","","20","27","142","larger_later","",""
"778","71","poldrack-single-stim","28","103348","0.0-28.0","s636","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$25</div><br><br><div class = delbox style = ""color:white"">70 days</div></div>","89,71","4000","","20","25","70","smaller_sooner","",""
"792","71","poldrack-single-stim","29","108328","0.0-29.0","s636","","4976","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$44</div><br><br><div class = delbox style = ""color:white"">92 days</div></div>","89,71","4000","","20","44","92","smaller_sooner","",""
"865","71","poldrack-single-stim","30","113241","0.0-30.0","s636","","4908","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$41</div><br><br><div class = delbox style = ""color:white"">27 days</div></div>","89,71","4000","","20","41","27","smaller_sooner","",""
"1337","71","poldrack-single-stim","31","117815","0.0-31.0","s636","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$64</div><br><br><div class = delbox style = ""color:white"">89 days</div></div>","89,71","4000","","20","64","89","smaller_sooner","",""
"884","89","poldrack-single-stim","32","122320","0.0-32.0","s636","","4500","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$78</div><br><br><div class = delbox style = ""color:white"">108 days</div></div>","89,71","4000","","20","78","108","larger_later","",""
"915","71","poldrack-single-stim","33","128526","0.0-33.0","s636","","6200","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">$80</div><br><br><div class = delbox style = ""color:white"">145 days</div></div>","89,71","4000","","20","80","145","smaller_sooner","",""
