rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,responses,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,exp_stage,trial_num,SS_stimulus,SS_delay,SS_trial_type,SS_duration,exp_id
6209,13,text,0,6211,0.0-0.0,s636,,,,,,,,,,,,,,,,,,
1124,89,poldrack-text,1,8337,0.0-1.0,s636,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,1124,500,fmri_response_test,,,,,,,,,,,,,,
324,71,poldrack-text,2,9163,0.0-2.0,s636,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,324,500,fmri_response_test,,,,,,,,,,,,,,
9389,,survey-text,3,19057,0.0-3.0,s636,,,,task_setup,"{""Q0"":""300""}",,,,,,,,,,,,,
27127,32,poldrack-single-stim,4,47219,0.0-4.0,s636,,27127,0,instructions,,<div class = instructbox><p class = instruct-text>Only one key is correct for each shape. The correct keys are as follows:<ul list-text><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/moon.png></img>middle finger</div></li></li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/oval.png></img>index finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/rectangle.png></img>middle finger</div></li> </li><li><div class = prompt_container><img class = prompt_stim src = /static/experiments/stop_signal/images/trapezoid.png></img>index finger</div></li></ul></p><p class = instruct-text><strong>Do not respond if you see the red star!</strong></p><p class = instruct-text>We will start with practice</p></div>,32,27127,,,,,,,,,,
1224,89,poldrack-categorize,5,49572,0.0-5.0-0.0-0.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,500,practice,0,,,,,
874,71,poldrack-categorize,6,52174,0.0-5.0-0.0-1.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,500,practice,1,,,,,
671,71,poldrack-categorize,7,54776,0.0-5.0-0.0-2.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,500,practice,2,,,,,
647,89,poldrack-categorize,8,57377,0.0-5.0-0.0-3.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,false,71,500,practice,3,,,,,
467,71,poldrack-categorize,9,59979,0.0-5.0-0.0-4.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,500,practice,4,,,,,
401,71,poldrack-categorize,10,62581,0.0-5.0-0.0-5.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,500,practice,5,,,,,
768,71,poldrack-categorize,11,65184,0.0-5.0-0.0-6.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,500,practice,6,,,,,
666,89,poldrack-categorize,12,67787,0.0-5.0-0.0-7.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,500,practice,7,,,,,
695,89,poldrack-categorize,13,70389,0.0-5.0-0.0-8.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,500,practice,8,,,,,
568,71,poldrack-categorize,14,72990,0.0-5.0-0.0-9.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,500,practice,9,,,,,
573,89,poldrack-categorize,15,75592,0.0-5.0-0.0-10.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,true,89,500,practice,10,,,,,
668,71,poldrack-categorize,16,78194,0.0-5.0-0.0-11.0,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,500,practice,11,,,,,
906,89,poldrack-categorize,17,80797,0.0-5.1-0.1-0.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,500,practice,12,,,,,
748,71,poldrack-categorize,18,83400,0.0-5.1-0.1-1.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,500,practice,13,,,,,
516,89,poldrack-categorize,19,86002,0.0-5.1-0.1-2.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,false,71,500,practice,14,,,,,
867,89,poldrack-categorize,20,88604,0.0-5.1-0.1-3.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,false,71,500,practice,15,,,,,
489,71,poldrack-categorize,21,91205,0.0-5.1-0.1-4.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,500,practice,16,,,,,
399,71,poldrack-categorize,22,93808,0.0-5.1-0.1-5.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/rectangle.png></img></div>,"89,71",850,true,71,500,practice,17,,,,,
625,71,poldrack-categorize,23,96410,0.0-5.1-0.1-6.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/moon.png></img></div>,"89,71",850,true,71,500,practice,18,,,,,
603,89,poldrack-categorize,24,99014,0.0-5.1-0.1-7.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,500,practice,19,,,,,
473,89,poldrack-categorize,25,101616,0.0-5.1-0.1-8.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/trapezoid.png></img></div>,"89,71",850,true,89,500,practice,20,,,,,
757,71,poldrack-categorize,26,104218,0.0-5.1-0.1-9.1,s636,,1850,250,stim,,<div class = coverbox></div><div class = shapebox><img class = stim src = /static/experiments/stop_signal/images/oval.png></img></div>,"89,71",850,false,89,500,practice,21,,,,,
