text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,subject,internal_node_id,exp_id,trigger_times,responses,stimulus,possible_responses,stim_duration,condition,exp_stage,trial_num,correct_response,correct
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,7942,89,7942,500,fmri_response_test,poldrack-text,0,7944,s638,0.0-0.0,dot_pattern_expectancy,,,,,,,,,,
<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,1027,71,1027,500,fmri_response_test,poldrack-text,1,9475,s638,0.0-1.0,dot_pattern_expectancy,,,,,,,,,,
,10362,,,,task_setup,survey-text,2,20345,s638,0.0-2.0,dot_pattern_expectancy,,"{""Q0"":""2"",""Q1"":""5""}",,,,,,,,
,26892,32,26892,500,instructions,poldrack-single-stim,3,48240,s638,0.0-3.0,dot_pattern_expectancy,,,"<div class = centerbox><p style = ""font-size:40px"" class = center-block-text>Target Pair (press index finger):</p><p class = center-block-text><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png"" ></img>&nbsp&nbsp&nbsp...followed by...&nbsp&nbsp&nbsp<img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png"" ></img><br></br></p><p style = ""font-size:40px"" class = center-block-text>Otherwise press middle finger</div>",32,26892,,,,,
,-1,-1,500,0,cue,poldrack-single-stim,4,49248,s638,0.0-4.0-0.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,practice,0,,
,-1,-1,2000,0,fixation,poldrack-single-stim,5,51252,s638,0.0-4.0-1.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,660,89,1500,0,probe,poldrack-single-stim,6,52756,s638,0.0-4.0-2.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,practice,0,89,true
,-1,-1,500,0,feedback,poldrack-single-stim,7,53262,s638,0.0-4.0-3.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,1,,
,-1,-1,500,0,cue,poldrack-single-stim,8,53769,s638,0.0-4.0-4.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,practice,1,,
,-1,-1,2000,0,fixation,poldrack-single-stim,9,55774,s638,0.0-4.0-5.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,352,89,2300,0,probe,poldrack-single-stim,10,58077,s638,0.0-4.0-6.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,practice,1,89,true
,-1,-1,500,0,feedback,poldrack-single-stim,11,58584,s638,0.0-4.0-7.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,2,,
,-1,-1,500,0,cue,poldrack-single-stim,12,59086,s638,0.0-4.0-8.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>",none,500,BX,practice,2,,
,-1,-1,2000,0,fixation,poldrack-single-stim,13,61091,s638,0.0-4.0-9.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,666,89,2500,0,probe,poldrack-single-stim,14,63597,s638,0.0-4.0-10.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,practice,2,71,false
,-1,-1,500,0,feedback,poldrack-single-stim,15,64104,s638,0.0-4.0-11.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>",none,500,,practice,3,,
,-1,-1,500,0,cue,poldrack-single-stim,16,64606,s638,0.0-4.0-12.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BY,practice,3,,
,-1,-1,2000,0,fixation,poldrack-single-stim,17,66611,s638,0.0-4.0-13.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,923,71,1500,0,probe,poldrack-single-stim,18,68115,s638,0.0-4.0-14.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71",500,BY,practice,3,71,true
,-1,-1,500,0,feedback,poldrack-single-stim,19,68618,s638,0.0-4.0-15.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,4,,
,-1,-1,500,0,cue,poldrack-single-stim,20,69123,s638,0.0-4.0-16.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,practice,4,,
,-1,-1,2000,0,fixation,poldrack-single-stim,21,71128,s638,0.0-4.0-17.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,632,89,1900,0,probe,poldrack-single-stim,22,73033,s638,0.0-4.0-18.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,practice,4,89,true
,-1,-1,500,0,feedback,poldrack-single-stim,23,73539,s638,0.0-4.0-19.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,5,,
,-1,-1,500,0,cue,poldrack-single-stim,24,74045,s638,0.0-4.0-20.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue5.png""</img></div></div>",none,500,BY,practice,5,,
,-1,-1,2000,0,fixation,poldrack-single-stim,25,76051,s638,0.0-4.0-21.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,604,71,1500,0,probe,poldrack-single-stim,26,77555,s638,0.0-4.0-22.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71",500,BY,practice,5,71,true
