rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,exp_stage,small_amount,large_amount,later_delay,choice,exp_id,bonus
1793,13,text,0,1795,0.0-0.0,s638,,,,,,,,,,,,,,
148089,89,poldrack-text,1,150891,0.0-1.0,s638,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,148089,500,fmri_response_test,,,,,,,,,,
14785,71,poldrack-text,2,166180,0.0-2.0,s638,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,14785,500,fmri_response_test,,,,,,,,,,
35061,32,poldrack-single-stim,3,201749,0.0-3.0,s638,,35061,500,instructions,<div class = centerbox><div class = center-text>Choose between <strong>$20 today</strong> or the presented option.<br><br><strong>Index:</strong> Accept option on screen (reject $20 today). <br><br><strong>Middle:</strong> Reject option on screen (accept $20 today)<br><br>We will start with a practice trial.</div></div>,32,35061,,,,,,,
2764,71,poldrack-single-stim,4,205018,0.0-4.0,s638,,2764,1000,stim,"<div class = dd-stim><div class = amtbox style = ""color:white"">$53.75</div><br><br><div class = delbox style = ""color:white"">34 days</div></div>","89,71",2764,practice,,,,,,
25353,32,poldrack-text,5,231376,0.0-5.0,s638,<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,25353,0,fmri_scanner_wait,,,,,,,,,,
1019,84,poldrack-text,6,232396,0.0-6.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,1019,0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,7,233077,0.0-7.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,
679,84,poldrack-text,8,233756,0.0-8.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,0,fmri_trigger_wait,,,,,,,,,,
680,84,poldrack-text,9,234437,0.0-9.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,0,fmri_trigger_wait,,,,,,,,,,
678,84,poldrack-text,10,235115,0.0-10.0,s638,<div class = centerbox><div  class = center-text>Task about to start!</div></div>,678,0,fmri_trigger_wait,,,,,,,,,,
