rt,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,text,block_duration,timing_post_trial,trial_id,stimulus,possible_responses,stim_duration,correct,correct_response,feedback_duration,condition,stim_color,stim_word,trial_num,exp_stage,exp_id
19089,13,text,0,19091,0.0-0.0,s638,,,,,,,,,,,,,,,,
1311,89,poldrack-text,1,21410,0.0-1.0,s638,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your index finger</p></div>,1311,500,fmri_response_test,,,,,,,,,,,,
414,71,poldrack-text,2,22329,0.0-2.0,s638,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your middle finger</p></div>,414,500,fmri_response_test,,,,,,,,,,,,
2580,82,poldrack-text,3,25413,0.0-3.0,s638,<div class = centerbox><div style = 'font-size: 50px' class = center-text>Please press your ring finger</p></div>,2580,500,fmri_response_test,,,,,,,,,,,,
20751,32,poldrack-single-stim,4,46671,0.0-4.0,s638,,20751,500,instructions,"<div class = centerbox><div class = center-text>Respond to the <strong>ink color</strong> of the word!<br><br><span style = ""color:red;padding-left:30px"">WORD</span>: Index<br><span style = ""color:#1F45FC;padding-left:65px"">WORD</span>: Middle<br><span style = ""color:#4FE829;"">WORD</span>: Ring<br><br>We will start with practice</div></div>",32,20751,,,,,,,,,
847,82,poldrack-categorize,5,49186,0.0-5.0-0.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLUE</div></div>","89,71,82",1500,true,82,500,incongruent,green,blue,1,practice,
-1,-1,poldrack-single-stim,6,49441,0.0-5.0-1.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
636,71,poldrack-categorize,7,51452,0.0-5.0-2.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">GREEN</div></div>","89,71,82",1500,true,71,500,incongruent,blue,green,2,practice,
-1,-1,poldrack-single-stim,8,51708,0.0-5.0-3.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
616,89,poldrack-categorize,9,53718,0.0-5.0-4.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">RED</div></div>","89,71,82",1500,true,89,500,congruent,red,red,3,practice,
-1,-1,poldrack-single-stim,10,53974,0.0-5.0-5.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
442,71,poldrack-categorize,11,55984,0.0-5.0-6.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLUE</div></div>","89,71,82",1500,true,71,500,congruent,blue,blue,4,practice,
-1,-1,poldrack-single-stim,12,56241,0.0-5.0-7.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
715,89,poldrack-categorize,13,58251,0.0-5.0-8.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLUE</div></div>","89,71,82",1500,true,89,500,incongruent,red,blue,5,practice,
-1,-1,poldrack-single-stim,14,58508,0.0-5.0-9.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
790,82,poldrack-categorize,15,60518,0.0-5.0-10.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">RED</div></div>","89,71,82",1500,true,82,500,incongruent,green,red,6,practice,
-1,-1,poldrack-single-stim,16,60774,0.0-5.0-11.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
423,71,poldrack-categorize,17,62785,0.0-5.0-12.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">RED</div></div>","89,71,82",1500,true,71,500,incongruent,blue,red,7,practice,
-1,-1,poldrack-single-stim,18,63041,0.0-5.0-13.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
446,82,poldrack-categorize,19,65046,0.0-5.0-14.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">GREEN</div></div>","89,71,82",1500,true,82,500,congruent,green,green,8,practice,
-1,-1,poldrack-single-stim,20,65303,0.0-5.0-15.0,s638,,250,0,fixation,<div class = centerbox><div class = fixation>+</div></div>,none,250,,,,,,,,,
446,89,poldrack-categorize,21,67312,0.0-5.0-16.0-0.0,s638,,1500,0,stim,"<div class = stroopbox><div class = stroop-stim style = ""color:red"">GREEN</div></div>","89,71,82",1500,true,89,500,incongruent,red,green,9,practice,
