Yeo (2011) label,WATT3,stroop,motorSelectiveStop,ANT,CCTHot,DPX,stopSignal,discountFix,twoByTwo
central visual,5.806684781306927,1.0060611227072311,-1.7485078944694352,0.9238430732803994,5.362675686218361,-2.083304489039992,-0.42763622380966493,-0.9238173216425783,1.7300604761296776
peripheral visual,-3.3307172582623297,-5.110117149294862,-5.652044882852389,-5.221198972424748,1.4939758771159453,-4.688476196026457,-7.01406533416506,-4.508471741749636,-4.160210667700826
somatomotor A,0.010280857556300697,0.9978446729753635,-3.6107308574572015,-0.7590367954977291,-1.8216766258138326,0.5792038083307145,-2.8144451392017578,-0.804985369962356,1.4867167930296241
somatomotor B,-1.795559816226571,-1.0545553556315077,-3.83728516881648,-2.3806361355139267,-3.2342564187988376,0.801693688042372,-2.9405006868892642,-0.22565418833477172,0.12512611525047893
dorsal attention A,6.893321074417223,1.2306028912514837,0.07562491776913703,2.6153259023271374,3.5688007114460394,0.7320715429062251,0.9566075739316844,-1.1880306303928143,2.312308270645155
dorsal attention B,8.741958111765044,1.6776495783848595,-0.12226163950957855,0.7757073426003148,1.9377414301925078,0.49529746112170947,0.05340280434189365,-1.1576201908772488,0.518333534854612
salience / ventral attention A,3.315912210691035,-0.6265144304529615,-1.4462889293148167,-2.9719078013006492,1.5594759628130506,-1.6077697776179554,-0.6754295981988641,-0.19598664302333982,-2.0618869965280426
salience / ventral attention B,1.3062323017732589,-1.644096231396371,1.7816221732469157,-3.185210683511281,3.759496982705651,-2.640741057453911,1.8120262722720877,1.4370069115076591,-3.79694347385502
limbic A,-3.509118792276194,-0.8781138351057276,-1.8730813624233873,-0.36606666813725053,0.7440686616262637,-0.6190089101165033,-1.0080821942766431,-0.37960628853029604,-1.5420279772712484
limbic B,-2.4290261013291894,-0.5340804480089638,-1.2810220862753026,-0.07955509545795465,0.20694129400079916,-0.3340826778257619,-0.7222263874978184,0.1827304938441055,-1.0742708006496222
control C,-0.6991933174978806,-4.039109888670504,-3.103746690622817,-4.315511673921653,2.5045230821335758,-4.455152718052294,-4.663320636958706,-3.2753918732720546,-4.2982625012000675
control A,3.8278470023320206,1.3112796831327813,3.418666651471851,0.33568776962850755,3.8551426787253926,0.42618008462892554,1.6455463759983218,2.1999073391377686,2.2880214394527187
control B,-0.20674715531970375,0.01365907254443564,2.6244942089308005,0.09619674585243632,2.1780357452091557,-0.004306275027500557,1.7391084462621524,2.770066057609824,-0.4318765057824443
temporal parietal,-5.828486912536504,-2.551323955737159,-2.8709479721440156,-2.6557729295674517,-1.84814162191971,-1.077631838085633,-1.6498454749008205,-5.313393676484323,-1.3127446154551623
default C,-3.9584252552722963,-3.441761121784156,-6.360414166730472,-1.2051580603905117,0.4549377518892455,-2.6547670761326247,-5.602666390592914,-3.588400119792485,-3.731546395122437
default A,-6.317423702360379,-3.2709053029473028,-4.152391026576429,-0.8669575501771096,0.06656338053047878,-1.9392340973294058,-3.86818966490676,-1.8997048440322626,-4.471990038045833
default B,-6.257609144747488,-1.942693379781143,-0.9041715511932559,0.21292343088321627,0.47413980629088515,0.03008647795283958,-0.6062570948254561,-0.36467661575354193,-2.8489263637505777
