index,age,sex
s130,29,Female
s192,19,Female
s251,19,Female
s358,26,Female
s373,32,Female
s445,21,Female
s465,23,Male
s471,22,Male
s483,20,Female
s491,23,Female
s495,23,Male
s497,29,Female
s499,22,Female
s512,23,Female
s524,23,Female
s525,18,Female
s526,28,Female
s541,21,Female
s546,18,Male
s548,24,Male
s549,40,Female
s553,30,Female
s554,23,Female
s555,34,Female
s556,30,Male
s557,18,Female
s558,23,Female
s561,23,Male
s567,38,Female
s568,18,Female
s570,18,Male
s572,22,Female
s573,28,Female
s574,22,Male
s577,19,Male
s579,19,Female
s581,18,Female
s582,23,Female
s583,30,Female
s584,18,Female
s585,33,Female
s586,27,Male
s587,19,Female
s588,23,Female
s589,28,Male
s590,19,Female
s591,21,Female
s592,20,Male
s593,24,Female
s594,19,Male
s595,20,Female
s596,40,Female
s597,19,Female
s598,24,Female
s601,33,Male
s602,23,Female
s604,23,Male
s605,19,Female
s606,24,Male
s607,23,Female
s608,28,Male
s609,21,Male
s610,19,Female
s611,20,Female
s612,20,Female
s613,28,Male
s614,23,Female
s615,21,Female
s616,27,Female
s617,19,Female
s618,24,Male
s619,26,Male
s621,24,Female
s622,22,Female
s624,21,Male
s626,22,Male
s627,29,Male
s628,26,Male
s629,20,Male
s631,23,Male
s633,38,Female
s634,25,Male
s635,27,Female
s636,21,Female
s637,19,Female
s638,22,Female
s640,26,Female
s641,23,Female
s642,18,Female
s643,31,Male
s644,18,Male
s645,19,Male
s646,22,Male
s647,24,Female
s648,30,Female
s649,22,Female
s650,41,Male
