		fd_mean	fd_num	fd_perc
sub-s061	CCTHot	0.13722399296859075	135	15.715948777648428
sub-s061	WATT3	0.1516106118180296	137	17.43002544529262
sub-s061	stopSignal	0.12578310069931417	44	8.396946564885496
sub-s061	twoByTwo	0.12410384271276394	73	7.087378640776699
sub-s061	DPX	0.10897765622204585	58	5.301645338208409
sub-s061	discountFix	0.13490838924042214	104	10.878661087866108
sub-s061	rest	0.1194602269527555	43	6.090651558073654
sub-s061	stroop	0.10448768750672255	14	4.129793510324483
sub-s061	surveyMedley	0.13852571361659075	44	7.815275310834814
sub-s130	DPX	0.04427568211941869	0	0.0
sub-s130	discountFix	0.03694791058624307	0	0.0
sub-s130	motorSelectiveStop	0.036940396532510994	0	0.0
sub-s130	rest	0.039885196118144776	3	0.42492917847025496
sub-s130	stroop	0.038328359099942394	0	0.0
sub-s130	surveyMedley	0.0309559797026684	0	0.0
sub-s130	ANT	0.04148368581426414	1	0.1834862385321101
sub-s130	CCTHot	0.031070388476348392	0	0.0
sub-s130	WATT3	0.04565539610361584	7	0.8215962441314554
sub-s130	stopSignal	0.031039818342404175	0	0.0
sub-s130	twoByTwo	0.03841468630029996	2	0.1968503937007874
sub-s144	ANT	0.06608586037401504	0	0.0
sub-s144	CCTHot	0.07467328286536878	3	0.40816326530612246
sub-s144	WATT3	0.07767774281626869	7	1.3307984790874525
sub-s144	rest	0.05737495674977945	0	0.0
sub-s144	stopSignal	0.056908726124121	0	0.0
sub-s144	twoByTwo	0.0624262489724477	1	0.0970873786407767
sub-s172	DPX	0.06862874898150642	0	0.0
sub-s172	discountFix	0.06543480131135063	0	0.0
sub-s172	motorSelectiveStop	0.0675031291957104	0	0.0
sub-s172	rest	0.05011202153245119	1	0.141643059490085
sub-s172	stroop	0.06386980232773494	0	0.0
sub-s172	surveyMedley	0.06880243571910263	0	0.0
sub-s172	ANT	0.05034025838110859	0	0.0
sub-s172	CCTHot	0.05590965142774127	0	0.0
sub-s172	WATT3	0.06167116264237923	0	0.0
sub-s172	stopSignal	0.05683311625186666	0	0.0
sub-s172	twoByTwo	0.05490163646967859	0	0.0
sub-s192	DPX	0.06624884706586634	9	0.8204193254329991
sub-s192	discountFix	0.069987008480744	3	0.32679738562091504
sub-s192	motorSelectiveStop	0.0721084901095239	12	1.2195121951219512
sub-s192	rest	0.08649185243589509	2	0.28328611898017
sub-s192	stroop	0.06783879822219017	0	0.0
sub-s192	surveyMedley	0.07034746362483724	2	0.33222591362126247
sub-s192	ANT	0.09407108315540054	23	4.056437389770723
sub-s192	CCTHot	0.09772494499684697	20	2.1810250817884405
sub-s192	WATT3	0.09200473270118018	8	1.1594202898550725
sub-s192	stopSignal	0.08866801688743146	8	1.5473887814313345
sub-s192	twoByTwo	0.10099628257757806	47	4.563106796116505
sub-s234	ANT	0.16479021630879465	59	10.611510791366907
sub-s234	CCTHot	0.1481682874104432	93	12.03104786545925
sub-s234	WATT3	0.14946883056988783	82	12.25710014947683
sub-s234	rest	0.09246029303268727	16	2.26628895184136
sub-s234	stopSignal	0.1834455446022831	42	8.383233532934131
sub-s234	twoByTwo	0.2099658713669381	208	20.194174757281555
sub-s234	DPX	0.1414909046330767	94	8.514492753623188
sub-s234	discountFix	0.14182726433250709	157	16.972972972972972
sub-s234	motorSelectiveStop	0.14784322124141047	131	13.3130081300813
sub-s234	stroop	0.12751062725812923	41	12.094395280235988
