record_id,ethnicity,race,sex
1,1,4,0
2,1,4,1
3,1,1,0
4,1,1,0
5,1,1,0
6,1,0,1
7,0,4,0
8,1,1,0
9,0,2,0
10,1,1,0
11,1,4,0
12,0,5,0
13,0,4,0
14,1,4,1
15,1,1,1
16,0,6,0
17,1,5,1
18,1,1,1
19,1,1,0
20,0,5,1
21,1,1,1
22,1,4,1
23,0,5,0
24,1,5,1
25,1,6,0
26,1,3,1
27,1,4,0
28,1,1,0
29,1,4,0
30,1,4,0
31,1,4,1
32,0,4,0
33,1,4,1
34,0,,0
35,1,4,0
36,1,4,1
37,0,5,1
38,1,1,1
39,1,4,1
40,1,4,1
41,1,4,1
42,1,3,0
43,0,4,1
44,1,1,0
45,1,1,0
46,1,1,0
47,1,4,0
48,1,4,0
49,1,4,0
50,1,4,0
51,1,4,0
52,1,4,1
53,1,1,0
54,1,1,0
55,1,1,0
56,1,4,0
57,1,1,0
58,1,4,0
59,1,4,0
60,0,,1
61,1,1,1
62,1,4,0
63,0,5,
64,1,2,0
65,1,4,0
66,1,1,1
67,0,4,1
68,1,4,1
69,1,4,1
70,1,1,1
71,1,4,1
72,0,,0
73,0,4,1
74,1,4,0
75,1,1,0
76,1,1,0
77,0,4,1
78,1,3,1
79,1,4,1
80,1,4,1
81,1,1,0
82,0,4,0
83,1,5,1
84,1,4,1
85,1,4,1
86,1,0,1
87,0,3,0
88,1,1,0
89,1,4,1
90,0,5,0
91,0,4,1
92,1,1,1
93,1,1,0
94,1,,
95,1,4,0
96,0,4,0
97,0,5,0
98,1,4,1
99,1,4,0
100,0,4,0
101,1,4,1
102,1,5,1
103,1,4,0
104,1,4,1
105,1,1,1
106,1,4,0
107,0,4,0
108,0,4,1
109,1,1,0
110,1,1,0
111,1,4,1
112,0,4,1
113,1,4,0
114,,,
115,1,4,0
116,0,,0
117,1,4,0
118,1,5,0
119,1,4,1
120,0,4,0
121,0,4,1
122,1,4,0
123,1,1,0
124,1,4,0
125,1,4,0
126,1,5,0
127,0,4,0
128,1,1,0
129,0,5,0
130,1,1,0
131,1,1,1
132,1,1,0
133,1,3,0
134,1,4,0
135,0,0,0
136,1,4,0
137,1,1,0
138,2,6,1
139,0,4,0
140,0,5,1
141,0,4,1
142,1,1,0
143,1,1,1
