,ANT_acc,discountFix_acc,DPX_acc,motorSelectiveStop_acc,stopSignal_acc,twoByTwo_acc,stroop_acc,WATT_acc,CCTHot_acc
s061,,0.7,1.0,1.0,0.9733333333333334,0.9625,0.96875,1.3458333333333332,0.5636363636363636
s130,0.984375,0.75,0.975,1.0,0.9866666666666667,0.9333333333333333,0.9791666666666666,1.45,0.5660377358490566
s144,0.96875,,,,0.96,0.9458333333333333,,1.1166666666666667,0.5780590717299579
s172,1.0,0.225,0.96875,1.0,0.9866666666666667,0.9666666666666667,0.9895833333333334,1.2833333333333332,0.6053639846743295
s192,0.984375,0.725,0.9625,0.9733333333333334,0.9866666666666667,0.9291666666666667,0.9166666666666666,1.4083333333333332,0.46178343949044587
s234,0.96875,0.7807017543859649,0.95625,0.9459459459459459,0.9333333333333333,0.7916666666666666,0.8854166666666666,1.325,0.6322314049586777
s251,1.0,0.6166666666666667,0.9375,0.9733333333333334,0.9733333333333334,0.9083333333333333,0.9166666666666666,1.4291666666666667,0.5390625
s358,1.0,0.5,0.99375,0.9473684210526315,0.9866666666666667,0.9125,1.0,1.3666666666666667,0.5635593220338984
s373,1.0,0.30833333333333335,0.9875,1.0,1.0,0.9875,0.9895833333333334,1.3875,0.5970873786407767
s445,0.9609375,0.11764705882352941,0.85,0.9855072463768116,0.8666666666666667,0.925,0.7291666666666666,1.3666666666666667,0.4144144144144144
s465,1.0,1.0,0.95,1.0,0.9333333333333333,0.8291666666666667,0.9791666666666666,1.325,0.45098039215686275
s471,0.9765625,0.6416666666666667,0.95,0.9473684210526315,0.9866666666666667,0.9291666666666667,0.9895833333333334,1.2208333333333332,0.5151515151515151
s483,0.984375,0.23333333333333334,0.9625,0.9868421052631579,1.0,0.95,0.9895833333333334,1.4083333333333332,0.5563636363636364
s491,1.0,0.7606837606837606,1.0,1.0,1.0,0.9666666666666667,0.9375,1.45,
s495,0.9765625,0.09322033898305085,0.98125,0.9733333333333334,1.0,0.9583333333333334,1.0,1.4291666666666667,0.5925925925925926
s497,0.984375,0.625,0.95,0.9736842105263158,0.9733333333333334,0.9625,0.9791666666666666,1.4074468085106382,0.508130081300813
s499,0.875,,0.8625,0.9264705882352942,1.0,0.9375,0.7083333333333334,1.0289473684210526,0.44755244755244755
s512,0.9609375,0.7563025210084033,0.9875,0.9459459459459459,0.10666666666666667,0.8708333333333333,0.9583333333333334,1.45,0.4634146341463415
s513,0.9765625,0.0,0.94375,1.0,0.8933333333333333,0.8708333333333333,0.9791666666666666,1.2,0.6326530612244898
s518,0.9921875,0.35,0.99375,0.9868421052631579,1.0,0.9416666666666667,0.9895833333333334,1.4065217391304348,0.48355263157894735
s519,1.0,1.0,1.0,1.0,0.9866666666666667,0.9625,0.9895833333333334,1.3648936170212767,0.6837606837606838
s524,0.90625,0.9880952380952381,0.69375,0.9672131147540983,0.9733333333333334,0.9583333333333334,0.7916666666666666,1.4083333333333332,0.5934579439252337
s525,0.9921875,0.25,0.96875,1.0,1.0,0.95,1.0,1.0541666666666667,0.5714285714285714
s526,1.0,0.775,0.975,1.0,1.0,0.9375,0.96875,1.2608108108108107,0.5562130177514792
s533,0.984375,,,,0.9466666666666667,0.8333333333333334,,1.069047619047619,0.5316455696202531
s541,0.984375,0.25833333333333336,0.9625,1.0,1.0,0.9583333333333334,0.9895833333333334,1.3223404255319149,0.514018691588785
s546,0.9921875,0.16806722689075632,0.975,0.96,0.9466666666666667,0.9625,0.9791666666666666,1.4055555555555554,0.5047619047619047
s548,1.0,0.4491525423728814,0.98125,1.0,0.9866666666666667,0.5791666666666667,0.9375,0.7472972972972972,0.5144927536231884
s549,0.9921875,0.8166666666666667,0.975,0.9459459459459459,0.9733333333333334,0.9666666666666667,1.0,1.3875,0.5421686746987951
s553,1.0,0.31666666666666665,0.9,0.9736842105263158,0.9466666666666667,0.7958333333333333,0.9895833333333334,1.2227272727272727,0.4918918918918919
s554,0.984375,0.6,0.9625,1.0,0.9733333333333334,0.9125,0.9791666666666666,1.3875,0.47318611987381703
s555,1.0,0.8,1.0,1.0,1.0,0.9666666666666667,1.0,1.3875,0.5555555555555556
s556,0.9921875,0.1,0.9685534591194969,0.9733333333333334,0.9733333333333334,0.9791666666666666,0.9895833333333334,1.1941860465116279,0.4476744186046512
s557,0.984375,0.375,0.96875,1.0,0.96,0.9333333333333333,0.9895833333333334,1.1583333333333332,0.5523255813953488
s558,0.984375,1.0,0.975,1.0,0.9866666666666667,0.8958333333333334,1.0,1.4083333333333332,0.6515151515151515
s561,0.9920634920634921,0.26666666666666666,0.925,0.9733333333333334,0.9333333333333333,0.9291666666666667,0.9791666666666666,1.45,0.4441176470588235
s567,0.796875,0.36134453781512604,0.8875,1.0,0.9733333333333334,0.9625,0.9583333333333334,1.3195652173913044,0.5708333333333333
s568,0.9765625,0.2966101694915254,0.7987421383647799,0.9866666666666667,0.84,0.8916666666666667,0.9583333333333334,1.325,0.5714285714285714
s570,1.0,0.7833333333333333,0.9625,1.0,0.96,0.9583333333333334,0.6770833333333334,1.1456521739130434,0.6075949367088608
