Yeo (2011) label,WATT3,stroop,motorSelectiveStop,ANT,CCTHot,DPX,stopSignal,discountFix,twoByTwo
central visual,6.52427273131381,0.9901070098365963,-1.7485078944694352,0.9007781235773981,5.602874767922476,-2.1124621071491054,-0.42763622380966493,-1.0041834648574275,1.6587235566781133
peripheral visual,-2.258726985225779,-5.071477147166926,-5.652044882852389,-5.191863242752167,1.8173478968209218,-4.698257751758732,-7.01406533416506,-4.522432514609742,-4.156577925254887
somatomotor A,-1.9248709817530585,1.1168504403974822,-3.6107308574572015,-0.6519905858878161,-1.7485496047941962,0.5306185874166195,-2.8144451392017578,-0.7884775683249791,1.496223422060966
somatomotor B,-3.8249044544742516,-1.0699044573838001,-3.83728516881648,-2.3384996533976605,-3.1821260696129894,0.7865442338273197,-2.9405006868892642,-0.22025753149530586,0.05123093525019342
dorsal attention A,6.721384781523127,1.310430808279963,0.07562491776913703,2.6133594117312424,3.793457291052063,0.62121832204172,0.9566075739316844,-1.3087384321491107,2.391209467333275
dorsal attention B,7.637013216210239,1.9064455182596807,-0.12226163950957855,0.8343598824662091,2.0108659865693848,0.39168940647562817,0.05340280434189365,-1.2561709940688257,0.6937761220738882
salience / ventral attention A,0.9945421178135171,-0.3537250409879738,-1.4462889293148167,-2.886408533215026,1.5557261741952062,-1.6374951070073707,-0.6754295981988641,-0.2350943381640066,-1.892781116075059
salience / ventral attention B,0.5308000120700536,-1.3736466845439863,1.7816221732469157,-3.148236326214994,3.5326359919484274,-2.6681139024287726,1.8120262722720877,1.2854687214389353,-3.541817319723805
limbic A,-3.0374538401479905,-0.7783311478328859,-1.8730813624233873,-0.32930754849377203,0.7491200579057385,-0.6293494311339608,-1.0080821942766431,-0.41899098149382813,-1.5227299726607118
limbic B,-1.9799053286893966,-0.4739179008775015,-1.2810220862753026,-0.06322209759765131,0.18824582252921035,-0.3188655634557681,-0.7222263874978184,0.16784431088863355,-1.0497392864300858
control C,-1.0563524886947444,-3.820780383258388,-3.103746690622817,-4.407367385845048,2.389204741932566,-4.47577714387978,-4.663320636958706,-3.3469302055016072,-4.170549949820525
control A,4.036629732986558,1.5423382439410454,3.418666651471851,0.3527398516482674,3.590221400393939,0.38111150946637934,1.6455463759983218,2.0530442233558497,2.5981257417732424
control B,-0.3476313076970406,0.08709512336920142,2.6244942089308005,0.05895384263926351,1.9512038952045845,-0.011083342831001302,1.7391084462621524,2.613001019712381,-0.2533610668543794
temporal parietal,-6.744698302928304,-2.538530153562891,-2.8709479721440156,-2.6534261370478562,-1.718788898440449,-1.1082751361370233,-1.6498454749008205,-5.307040521570522,-1.2960744330247866
default C,-3.4892732586155413,-3.334464126582293,-6.360414166730472,-1.2403507114262515,0.5601116131426266,-2.655873073390473,-5.602666390592914,-3.630418171280763,-3.6887364863597427
default A,-6.240820052142421,-3.104662148957182,-4.152391026576429,-0.8978534457797614,0.05216763887476178,-1.9110273522494843,-3.86818966490676,-1.9345498150320573,-4.355397280671342
default B,-6.035325036590581,-1.777637583550895,-0.9041715511932559,0.29708861245600826,0.3858069346769485,0.04549178697293853,-0.6062570948254561,-0.42922587323115613,-2.6768064329824512
